,diseases,Symptom_labels
27,abdominal aortic aneurysm,"shortness of breath, palpitations, arm swelling, burning abdominal pain"
28,abdominal aortic aneurysm,"shortness of breath, palpitations, sharp abdominal pain, arm swelling, back pain, burning abdominal pain"
29,abdominal aortic aneurysm,"shortness of breath, palpitations, sharp abdominal pain, arm swelling, back pain, burning abdominal pain"
30,abdominal aortic aneurysm,"palpitations, sharp abdominal pain, arm swelling, back pain, burning abdominal pain"
31,abdominal aortic aneurysm,"shortness of breath, palpitations, sharp abdominal pain, back pain, burning abdominal pain"
32,abdominal aortic aneurysm,"shortness of breath, palpitations, arm swelling, burning abdominal pain"
33,abdominal aortic aneurysm,"shortness of breath, palpitations, arm swelling, back pain"
34,abdominal aortic aneurysm,"shortness of breath, palpitations, arm swelling, burning abdominal pain"
35,abdominal aortic aneurysm,"shortness of breath, sharp abdominal pain, arm swelling, back pain, burning abdominal pain"
36,abdominal aortic aneurysm,"shortness of breath, palpitations, back pain, burning abdominal pain"
37,abdominal aortic aneurysm,"shortness of breath, palpitations, sharp abdominal pain, arm swelling, burning abdominal pain"
38,abdominal aortic aneurysm,"shortness of breath, palpitations"
39,abdominal aortic aneurysm,"shortness of breath, palpitations, back pain, burning abdominal pain"
40,abdominal aortic aneurysm,"shortness of breath, sharp abdominal pain, arm swelling, burning abdominal pain"
41,abdominal aortic aneurysm,"shortness of breath, palpitations, back pain, burning abdominal pain"
42,abdominal aortic aneurysm,"shortness of breath, palpitations, arm swelling, burning abdominal pain"
43,abdominal aortic aneurysm,"palpitations, sharp abdominal pain, back pain, burning abdominal pain"
44,abdominal aortic aneurysm,"shortness of breath, palpitations, sharp abdominal pain, arm swelling, back pain"
45,abdominal aortic aneurysm,"shortness of breath, palpitations, back pain, burning abdominal pain"
46,abdominal aortic aneurysm,"sharp abdominal pain, arm swelling, burning abdominal pain"
47,abdominal aortic aneurysm,"shortness of breath, palpitations, sharp abdominal pain, arm swelling, burning abdominal pain"
48,abdominal aortic aneurysm,"shortness of breath, palpitations, sharp abdominal pain, arm swelling"
49,abdominal aortic aneurysm,"sharp abdominal pain, arm swelling, back pain, burning abdominal pain"
50,abdominal hernia,"symptoms of the scrotum and testes, lower abdominal pain, regurgitation, ache all over, swollen abdomen, regurgitation.1, irregular belly button"
51,abdominal hernia,"symptoms of the scrotum and testes, ache all over, upper abdominal pain, irregular belly button"
52,abdominal hernia,"symptoms of the scrotum and testes, lower abdominal pain, upper abdominal pain, swollen abdomen"
53,abdominal hernia,"groin mass, sharp abdominal pain, lower abdominal pain, regurgitation, upper abdominal pain, swollen abdomen, regurgitation.1"
54,abdominal hernia,"groin mass, symptoms of the scrotum and testes, sharp abdominal pain, lower abdominal pain, irregular belly button"
55,abdominal hernia,"symptoms of the scrotum and testes, lower abdominal pain, regurgitation, ache all over, regurgitation.1, irregular belly button"
56,abdominal hernia,"groin mass, symptoms of the scrotum and testes, sharp abdominal pain, regurgitation, upper abdominal pain, swollen abdomen, regurgitation.1"
57,abdominal hernia,"symptoms of the scrotum and testes, lower abdominal pain, upper abdominal pain, irregular belly button"
58,abdominal hernia,"groin mass, symptoms of the scrotum and testes, ache all over, swollen abdomen"
59,abdominal hernia,"symptoms of the scrotum and testes, lower abdominal pain, regurgitation, ache all over, swollen abdomen, regurgitation.1, irregular belly button"
60,abdominal hernia,"groin mass, lower abdominal pain, regurgitation, ache all over, upper abdominal pain, regurgitation.1"
61,abdominal hernia,"groin mass, symptoms of the scrotum and testes, sharp abdominal pain, lower abdominal pain, regurgitation, ache all over, upper abdominal pain, swollen abdomen, regurgitation.1, irregular belly button"
62,abdominal hernia,"groin mass, symptoms of the scrotum and testes, lower abdominal pain, ache all over, irregular belly button"
63,abdominal hernia,"groin mass, sharp abdominal pain, lower abdominal pain, regurgitation, swollen abdomen, regurgitation.1, irregular belly button"
64,abdominal hernia,"groin mass, symptoms of the scrotum and testes, lower abdominal pain, irregular belly button"
65,abdominal hernia,"symptoms of the scrotum and testes, sharp abdominal pain, lower abdominal pain, regurgitation, ache all over, swollen abdomen, regurgitation.1, irregular belly button"
66,abdominal hernia,"groin mass, symptoms of the scrotum and testes, regurgitation, ache all over, upper abdominal pain, regurgitation.1, irregular belly button"
67,abdominal hernia,"groin mass, symptoms of the scrotum and testes, sharp abdominal pain, regurgitation, ache all over, upper abdominal pain, regurgitation.1"
68,abdominal hernia,"symptoms of the scrotum and testes, sharp abdominal pain, lower abdominal pain, regurgitation, ache all over, upper abdominal pain, swollen abdomen, regurgitation.1, irregular belly button"
69,abdominal hernia,"groin mass, symptoms of the scrotum and testes, sharp abdominal pain, lower abdominal pain, regurgitation, ache all over, upper abdominal pain, regurgitation.1, irregular belly button"
70,abdominal hernia,"groin mass, symptoms of the scrotum and testes, lower abdominal pain, ache all over"
71,abdominal hernia,"symptoms of the scrotum and testes, sharp abdominal pain, lower abdominal pain, upper abdominal pain, irregular belly button"
72,abdominal hernia,"sharp abdominal pain, lower abdominal pain, ache all over, irregular belly button"
73,abdominal hernia,"groin mass, lower abdominal pain, regurgitation, ache all over, regurgitation.1, irregular belly button"
74,abdominal hernia,"groin mass, symptoms of the scrotum and testes, sharp abdominal pain, upper abdominal pain, irregular belly button"
75,abdominal hernia,"groin mass, symptoms of the scrotum and testes, sharp abdominal pain, irregular belly button"
76,abdominal hernia,"symptoms of the scrotum and testes, sharp abdominal pain, lower abdominal pain, ache all over, upper abdominal pain"
77,abdominal hernia,"symptoms of the scrotum and testes, lower abdominal pain, upper abdominal pain"
78,abdominal hernia,"symptoms of the scrotum and testes, sharp abdominal pain, lower abdominal pain, ache all over, upper abdominal pain, swollen abdomen"
79,abdominal hernia,"groin mass, symptoms of the scrotum and testes, sharp abdominal pain, swollen abdomen, irregular belly button"
80,abdominal hernia,"symptoms of the scrotum and testes, sharp abdominal pain, lower abdominal pain, regurgitation, swollen abdomen, regurgitation.1, irregular belly button"
81,abdominal hernia,"groin mass, symptoms of the scrotum and testes, sharp abdominal pain, lower abdominal pain, ache all over, upper abdominal pain"
82,abdominal hernia,"symptoms of the scrotum and testes, sharp abdominal pain, regurgitation, ache all over, upper abdominal pain, swollen abdomen, regurgitation.1"
83,abdominal hernia,"groin mass, symptoms of the scrotum and testes, sharp abdominal pain, lower abdominal pain, upper abdominal pain, swollen abdomen"
84,abdominal hernia,"groin mass, sharp abdominal pain, lower abdominal pain, ache all over, upper abdominal pain, swollen abdomen"
85,abdominal hernia,"groin mass, symptoms of the scrotum and testes, sharp abdominal pain, lower abdominal pain, irregular belly button"
86,abdominal hernia,"symptoms of the scrotum and testes, sharp abdominal pain, ache all over, irregular belly button"
87,abdominal hernia,"groin mass, symptoms of the scrotum and testes, lower abdominal pain, regurgitation, swollen abdomen, regurgitation.1, irregular belly button"
88,abdominal hernia,"sharp abdominal pain, upper abdominal pain, swollen abdomen"
89,abdominal hernia,"symptoms of the scrotum and testes, lower abdominal pain, ache all over, upper abdominal pain, swollen abdomen"
90,abdominal hernia,"groin mass, symptoms of the scrotum and testes, sharp abdominal pain, swollen abdomen, irregular belly button"
91,abdominal hernia,"sharp abdominal pain, lower abdominal pain, ache all over, upper abdominal pain, irregular belly button"
92,abdominal hernia,"groin mass, symptoms of the scrotum and testes, sharp abdominal pain, lower abdominal pain, ache all over, swollen abdomen"
93,abdominal hernia,"sharp abdominal pain, lower abdominal pain, regurgitation, ache all over, swollen abdomen, regurgitation.1, irregular belly button"
94,abdominal hernia,"groin mass, symptoms of the scrotum and testes, ache all over, swollen abdomen, irregular belly button"
95,abdominal hernia,"groin mass, symptoms of the scrotum and testes, sharp abdominal pain, regurgitation, ache all over, swollen abdomen, regurgitation.1, irregular belly button"
96,abdominal hernia,"symptoms of the scrotum and testes, sharp abdominal pain, lower abdominal pain"
97,abdominal hernia,"groin mass, symptoms of the scrotum and testes, regurgitation, swollen abdomen, regurgitation.1, irregular belly button"
98,abdominal hernia,"sharp abdominal pain, swollen abdomen, irregular belly button"
99,abdominal hernia,"symptoms of the scrotum and testes, regurgitation, ache all over, swollen abdomen, regurgitation.1, irregular belly button"
100,abscess of nose,"nasal congestion, irritable infant, vomiting, fever, coryza"
101,abscess of nose,"cough, nasal congestion, vomiting, fever, coryza"
102,abscess of nose,"cough, nasal congestion, irritable infant, coryza"
103,abscess of nose,"irritable infant, vomiting, sinus congestion"
104,abscess of nose,"sore throat, cough, irritable infant, vomiting, sinus congestion"
105,abscess of nose,"vomiting, coryza"
106,abscess of nose,"sore throat, cough, vomiting, fever, coryza"
107,abscess of nose,"sore throat, nasal congestion, irritable infant"
108,abscess of nose,"nasal congestion, irritable infant, vomiting, coryza"
109,abscess of nose,"vomiting, fever, coryza"
110,abscess of nose,"cough, nasal congestion, vomiting, coryza, sinus congestion"
111,abscess of nose,"cough, irritable infant, vomiting, fever, sinus congestion"
112,abscess of nose,"cough, irritable infant, vomiting, coryza, sinus congestion"
113,abscess of nose,"sore throat, cough, irritable infant, vomiting, fever, coryza"
114,abscess of nose,"nasal congestion, irritable infant, vomiting"
115,abscess of nose,"sore throat, cough, irritable infant, vomiting, fever, coryza, sinus congestion"
116,abscess of nose,"sore throat, cough, irritable infant, vomiting, fever, sinus congestion"
117,abscess of nose,"sore throat, cough, fever, coryza, sinus congestion"
118,abscess of nose,"nasal congestion, vomiting, fever"
119,abscess of nose,"irritable infant, vomiting, coryza"
120,abscess of nose,"sore throat, cough, nasal congestion, irritable infant, vomiting, coryza, sinus congestion"
121,abscess of nose,"sore throat, irritable infant, fever, coryza"
122,abscess of nose,"sore throat, fever, coryza"
123,abscess of nose,"cough, irritable infant, vomiting"
124,abscess of nose,"sore throat, cough, irritable infant, vomiting, fever"
125,abscess of nose,"irritable infant, fever, coryza, sinus congestion"
126,abscess of nose,"sore throat, cough, nasal congestion, irritable infant, fever, coryza, sinus congestion"
127,abscess of nose,"sore throat, cough, nasal congestion, irritable infant, vomiting, sinus congestion"
128,abscess of nose,"sore throat, cough, nasal congestion, irritable infant, vomiting, coryza"
129,abscess of nose,"irritable infant, vomiting, fever, coryza"
130,abscess of nose,"nasal congestion, irritable infant, fever, coryza"
131,abscess of nose,"sore throat, nasal congestion, irritable infant, vomiting"
132,abscess of nose,"sore throat, cough, nasal congestion, irritable infant, vomiting, coryza, sinus congestion"
133,abscess of nose,"sore throat, irritable infant, fever, sinus congestion"
134,abscess of nose,"sore throat, irritable infant, vomiting, fever, sinus congestion"
135,abscess of nose,"cough, nasal congestion, irritable infant, vomiting, fever"
136,abscess of nose,"cough, irritable infant, vomiting, coryza, sinus congestion"
137,abscess of nose,"sore throat, irritable infant, vomiting, fever"
138,abscess of nose,"nasal congestion, irritable infant, vomiting"
139,abscess of nose,"sore throat, irritable infant, vomiting, coryza"
140,abscess of nose,"sore throat, cough, irritable infant, vomiting, fever, coryza"
141,abscess of nose,"sore throat, cough, vomiting, coryza, sinus congestion"
142,abscess of nose,"sore throat, cough, nasal congestion, irritable infant, vomiting"
143,abscess of nose,"sore throat, cough, irritable infant, vomiting, coryza"
144,abscess of nose,"sore throat, irritable infant, vomiting, fever"
145,abscess of nose,"irritable infant, vomiting, coryza, sinus congestion"
146,abscess of nose,"nasal congestion, irritable infant, vomiting, sinus congestion"
147,abscess of nose,"sore throat, nasal congestion, irritable infant, vomiting, fever, coryza, sinus congestion"
148,abscess of nose,"sore throat, nasal congestion, vomiting, fever, coryza, sinus congestion"
149,abscess of nose,"nasal congestion, irritable infant, vomiting"
150,abscess of the pharynx,"sharp chest pain, sore throat, cough, nasal congestion, throat swelling, headache"
151,abscess of the pharynx,"cough, nasal congestion, difficulty in swallowing, headache, fever"
152,abscess of the pharynx,"sharp chest pain, sore throat, cough, throat swelling, headache"
153,abscess of the pharynx,"sharp chest pain, sore throat, nasal congestion, throat swelling, fever"
154,abscess of the pharynx,"cough, nasal congestion, throat swelling, difficulty in swallowing, fever"
155,abscess of the pharynx,"sharp chest pain, nasal congestion, throat swelling, headache"
156,abscess of the pharynx,"sharp chest pain, cough, throat swelling, headache, fever"
157,abscess of the pharynx,"sharp chest pain, throat swelling, headache, fever"
158,abscess of the pharynx,"sharp chest pain, cough, nasal congestion, throat swelling, fever"
159,abscess of the pharynx,"sore throat, cough, nasal congestion, difficulty in swallowing, headache"
160,abscess of the pharynx,"sharp chest pain, cough, nasal congestion, headache, fever"
161,abscess of the pharynx,"sharp chest pain, sore throat, cough, throat swelling, difficulty in swallowing, fever"
162,abscess of the pharynx,"sharp chest pain, sore throat, cough, nasal congestion, throat swelling, difficulty in swallowing"
163,abscess of the pharynx,"cough, headache, fever"
164,abscess of the pharynx,"sharp chest pain, sore throat, throat swelling"
165,abscess of the pharynx,"sharp chest pain, sore throat, difficulty in swallowing"
166,abscess of the pharynx,"sharp chest pain, cough, nasal congestion, throat swelling, headache"
167,abscess of the pharynx,"cough, throat swelling, difficulty in swallowing, headache, fever"
168,abscess of the pharynx,"sharp chest pain, cough, throat swelling, difficulty in swallowing, headache, fever"
169,abscess of the pharynx,"sharp chest pain, cough, throat swelling"
170,abscess of the pharynx,"sharp chest pain, sore throat, nasal congestion, fever"
171,abscess of the pharynx,"sharp chest pain, sore throat, throat swelling, headache"
172,abscess of the pharynx,"sharp chest pain, sore throat, cough, fever"
173,abscess of the pharynx,"sharp chest pain, sore throat, difficulty in swallowing, headache"
174,abscess of the pharynx,"sharp chest pain, sore throat, cough, headache"
175,abscess of the pharynx,"sharp chest pain, sore throat, cough, throat swelling, difficulty in swallowing, fever"
176,abscess of the pharynx,"sharp chest pain, throat swelling, difficulty in swallowing, headache, fever"
177,abscess of the pharynx,"sharp chest pain, cough, nasal congestion, throat swelling, difficulty in swallowing, headache"
178,abscess of the pharynx,"sharp chest pain, sore throat, throat swelling, difficulty in swallowing"
179,abscess of the pharynx,"sharp chest pain, throat swelling, difficulty in swallowing"
180,abscess of the pharynx,"sore throat, cough, throat swelling, headache, fever"
181,abscess of the pharynx,"sharp chest pain, sore throat, cough, nasal congestion, headache"
182,abscess of the pharynx,"sharp chest pain, nasal congestion, fever"
183,abscess of the pharynx,"sharp chest pain, nasal congestion, headache"
184,abscess of the pharynx,"sharp chest pain, sore throat, throat swelling, difficulty in swallowing, headache, fever"
185,abscess of the pharynx,"sharp chest pain, sore throat, headache, fever"
186,abscess of the pharynx,"sharp chest pain, sore throat, cough, nasal congestion, difficulty in swallowing, fever"
187,abscess of the pharynx,"sharp chest pain, sore throat, nasal congestion, throat swelling, fever"
188,abscess of the pharynx,"cough, headache"
189,abscess of the pharynx,"sore throat, nasal congestion, throat swelling, headache"
190,abscess of the pharynx,"sharp chest pain, sore throat, cough, difficulty in swallowing, fever"
191,abscess of the pharynx,"sore throat, cough, nasal congestion, throat swelling, headache, fever"
192,abscess of the pharynx,"sharp chest pain, cough, nasal congestion, headache"
193,abscess of the pharynx,"sharp chest pain, cough, nasal congestion, throat swelling, headache"
194,abscess of the pharynx,"sharp chest pain, cough, throat swelling, headache"
195,abscess of the pharynx,"sharp chest pain, sore throat, cough, nasal congestion, throat swelling, headache, fever"
196,abscess of the pharynx,"sharp chest pain, sore throat, cough, nasal congestion, throat swelling, difficulty in swallowing, headache"
197,abscess of the pharynx,"sharp chest pain, nasal congestion, throat swelling, difficulty in swallowing, headache, fever"
198,abscess of the pharynx,"sharp chest pain, nasal congestion, throat swelling, difficulty in swallowing, headache"
199,abscess of the pharynx,"sharp chest pain, nasal congestion, headache, fever"
200,achalasia,"chest tightness, cough"
201,achalasia,"cough, difficulty in swallowing"
202,achalasia,"chest tightness, cough, throat feels tight, difficulty in swallowing"
203,achalasia,"chest tightness, cough, throat feels tight"
204,achalasia,"chest tightness, cough, throat feels tight, difficulty in swallowing"
205,achalasia,"sharp chest pain, chest tightness, cough, throat feels tight, difficulty in swallowing"
206,achalasia,"chest tightness, cough, throat feels tight, difficulty in swallowing"
207,achalasia,"sharp chest pain, chest tightness, cough, throat feels tight"
208,achalasia,"chest tightness, cough, throat feels tight, difficulty in swallowing"
209,achalasia,"sharp chest pain, cough, throat feels tight"
210,achalasia,"sharp chest pain, cough, throat feels tight"
211,achalasia,"sharp chest pain, chest tightness, cough"
212,achalasia,"sharp chest pain, chest tightness, cough, difficulty in swallowing"
213,achalasia,"chest tightness, cough, throat feels tight"
214,achalasia,"sharp chest pain, cough, throat feels tight"
215,achalasia,"cough, throat feels tight, difficulty in swallowing"
216,achalasia,"chest tightness, cough, throat feels tight, difficulty in swallowing"
217,achalasia,"sharp chest pain, chest tightness, cough, throat feels tight"
218,achalasia,"sharp chest pain, throat feels tight"
219,achalasia,"sharp chest pain, chest tightness, cough, throat feels tight, difficulty in swallowing"
220,achalasia,"sharp chest pain, chest tightness, cough, throat feels tight"
221,achalasia,"chest tightness, cough, difficulty in swallowing"
222,achalasia,"sharp chest pain, cough, throat feels tight, difficulty in swallowing"
223,achalasia,"chest tightness, cough"
224,achalasia,"chest tightness, throat feels tight"
225,achalasia,"chest tightness, cough, throat feels tight, difficulty in swallowing"
226,achalasia,"sharp chest pain, chest tightness, throat feels tight, difficulty in swallowing"
227,achalasia,"sharp chest pain, chest tightness, cough, throat feels tight"
228,achalasia,"chest tightness, cough, throat feels tight, difficulty in swallowing"
229,achalasia,"chest tightness, cough, throat feels tight, difficulty in swallowing"
230,achalasia,"sharp chest pain, chest tightness, cough, throat feels tight, difficulty in swallowing"
231,achalasia,"sharp chest pain, chest tightness, cough, throat feels tight"
232,achalasia,"chest tightness, throat feels tight"
233,achalasia,"sharp chest pain, chest tightness, throat feels tight"
234,achalasia,"cough, difficulty in swallowing"
235,achalasia,"cough, throat feels tight"
236,achalasia,"sharp chest pain, chest tightness, cough, difficulty in swallowing"
237,achalasia,"chest tightness, throat feels tight, difficulty in swallowing"
238,achalasia,"sharp chest pain, chest tightness, cough, throat feels tight"
239,achalasia,"chest tightness, cough, throat feels tight, difficulty in swallowing"
240,achalasia,"chest tightness, cough, throat feels tight"
241,achalasia,"chest tightness, cough"
242,achalasia,"sharp chest pain, chest tightness"
243,achalasia,"chest tightness, cough, throat feels tight"
244,achalasia,"sharp chest pain, chest tightness, throat feels tight"
245,achalasia,"sharp chest pain, chest tightness, difficulty in swallowing"
246,achalasia,"chest tightness, throat feels tight, difficulty in swallowing"
247,achalasia,"chest tightness, throat feels tight, difficulty in swallowing"
248,achalasia,cough
249,achalasia,"chest tightness, cough, difficulty in swallowing"
250,acne,"skin swelling, abnormal appearing skin, skin growth, skin moles, long menstrual periods, skin dryness, peeling, scaliness, or roughness"
251,acne,"abnormal appearing skin, acne or pimples, irregular appearing scalp, skin dryness, peeling, scaliness, or roughness"
252,acne,"skin growth, irregular appearing scalp, long menstrual periods, skin dryness, peeling, scaliness, or roughness, skin rash"
253,acne,"skin swelling, abnormal appearing skin, skin growth, skin dryness, peeling, scaliness, or roughness"
254,acne,"skin swelling, irregular appearing scalp, long menstrual periods, skin dryness, peeling, scaliness, or roughness, skin rash"
255,acne,"skin swelling, skin growth, irregular appearing scalp"
256,acne,"abnormal appearing skin, irregular appearing scalp, skin moles, long menstrual periods"
257,acne,"abnormal appearing skin, skin growth, skin dryness, peeling, scaliness, or roughness"
258,acne,"irregular appearing scalp, skin moles, long menstrual periods, skin dryness, peeling, scaliness, or roughness, skin rash"
259,acne,"skin swelling, skin moles, skin rash"
260,acne,"abnormal appearing skin, irregular appearing scalp, skin moles, skin dryness, peeling, scaliness, or roughness, skin rash"
261,acne,"abnormal appearing skin, irregular appearing scalp, skin moles, long menstrual periods, skin dryness, peeling, scaliness, or roughness"
262,acne,"abnormal appearing skin, skin growth, irregular appearing scalp, skin moles, long menstrual periods, skin dryness, peeling, scaliness, or roughness, skin rash"
263,acne,"skin swelling, abnormal appearing skin, skin growth, long menstrual periods, skin dryness, peeling, scaliness, or roughness"
264,acne,"skin growth, irregular appearing scalp, long menstrual periods, skin rash"
265,acne,"skin swelling, abnormal appearing skin, acne or pimples, irregular appearing scalp, skin moles, long menstrual periods, skin dryness, peeling, scaliness, or roughness"
266,acne,"abnormal appearing skin, skin growth, irregular appearing scalp, skin moles, long menstrual periods, skin dryness, peeling, scaliness, or roughness"
267,acne,"skin swelling, abnormal appearing skin, acne or pimples, skin growth, irregular appearing scalp, skin moles, long menstrual periods, skin dryness, peeling, scaliness, or roughness"
268,acne,"abnormal appearing skin, acne or pimples, irregular appearing scalp, long menstrual periods"
269,acne,"abnormal appearing skin, acne or pimples, irregular appearing scalp, skin moles, long menstrual periods, skin rash"
270,acne,"skin growth, skin moles"
271,acne,"acne or pimples, skin growth, irregular appearing scalp, skin moles, long menstrual periods, skin dryness, peeling, scaliness, or roughness"
272,acne,"abnormal appearing skin, acne or pimples, irregular appearing scalp, skin moles, long menstrual periods"
273,acne,"acne or pimples, long menstrual periods, skin rash"
274,acne,"abnormal appearing skin, acne or pimples, skin growth, irregular appearing scalp, long menstrual periods, skin dryness, peeling, scaliness, or roughness, skin rash"
275,acne,"abnormal appearing skin, irregular appearing scalp, skin rash"
276,acne,"skin swelling, acne or pimples, irregular appearing scalp, long menstrual periods"
277,acne,"abnormal appearing skin, acne or pimples, irregular appearing scalp, long menstrual periods, skin dryness, peeling, scaliness, or roughness, skin rash"
278,acne,"acne or pimples, skin growth, long menstrual periods"
279,acne,"skin swelling, acne or pimples, skin growth, long menstrual periods, skin rash"
280,acne,"abnormal appearing skin, irregular appearing scalp, skin moles, long menstrual periods, skin dryness, peeling, scaliness, or roughness, skin rash"
281,acne,"skin swelling, irregular appearing scalp, long menstrual periods, skin rash"
282,acne,"skin swelling, acne or pimples, irregular appearing scalp, long menstrual periods, skin dryness, peeling, scaliness, or roughness"
283,acne,"skin swelling, abnormal appearing skin, irregular appearing scalp, long menstrual periods"
284,acne,"irregular appearing scalp, skin moles, long menstrual periods, skin rash"
285,acne,"skin swelling, skin growth, irregular appearing scalp, skin moles, long menstrual periods, skin dryness, peeling, scaliness, or roughness"
286,acne,"skin swelling, abnormal appearing skin, irregular appearing scalp, skin moles, skin dryness, peeling, scaliness, or roughness"
287,acne,"acne or pimples, skin dryness, peeling, scaliness, or roughness"
288,acne,"abnormal appearing skin, irregular appearing scalp, skin moles, long menstrual periods, skin dryness, peeling, scaliness, or roughness, skin rash"
289,acne,"irregular appearing scalp, long menstrual periods, skin rash"
290,acne,"skin swelling, abnormal appearing skin, irregular appearing scalp, long menstrual periods, skin dryness, peeling, scaliness, or roughness, skin rash"
291,acne,"skin swelling, skin growth, irregular appearing scalp, skin moles, long menstrual periods, skin rash"
292,acne,"skin swelling, irregular appearing scalp, skin moles, skin rash"
293,acne,"skin swelling, abnormal appearing skin, acne or pimples, long menstrual periods, skin dryness, peeling, scaliness, or roughness"
294,acne,"skin swelling, acne or pimples, skin growth, skin moles, long menstrual periods, skin rash"
295,acne,"skin swelling, skin growth, skin dryness, peeling, scaliness, or roughness, skin rash"
296,acne,"skin swelling, abnormal appearing skin, acne or pimples, irregular appearing scalp, skin rash"
297,acne,"acne or pimples, skin growth, skin moles, long menstrual periods, skin rash"
298,acne,"abnormal appearing skin, irregular appearing scalp, skin dryness, peeling, scaliness, or roughness"
299,acne,"irregular appearing scalp, long menstrual periods, skin dryness, peeling, scaliness, or roughness"
300,actinic keratosis,"abnormal appearing skin, skin lesion, irregular appearing scalp, skin moles, symptoms of the face"
301,actinic keratosis,"abnormal appearing skin, skin growth, symptoms of the face, itching of skin"
302,actinic keratosis,"skin swelling, abnormal appearing skin, skin lesion, symptoms of the face, skin irritation, skin rash"
303,actinic keratosis,"skin swelling, skin lesion, skin growth, irregular appearing scalp, itching of skin, skin dryness, peeling, scaliness, or roughness"
304,actinic keratosis,"skin dryness, peeling, scaliness, or roughness, skin irritation"
305,actinic keratosis,"skin swelling, abnormal appearing skin, irregular appearing scalp, skin moles, symptoms of the face, itching of skin, skin irritation, skin rash"
306,actinic keratosis,"skin lesion, skin moles, symptoms of the face, skin rash"
307,actinic keratosis,"skin lesion, skin growth, skin moles, symptoms of the face, itching of skin, skin irritation, skin rash"
308,actinic keratosis,"skin swelling, abnormal appearing skin, symptoms of the face, skin dryness, peeling, scaliness, or roughness, skin irritation"
309,actinic keratosis,"skin lesion, skin growth, irregular appearing scalp, skin moles, symptoms of the face, skin irritation"
310,actinic keratosis,"abnormal appearing skin, skin lesion, itching of skin, skin dryness, peeling, scaliness, or roughness, skin rash"
311,actinic keratosis,"skin swelling, skin lesion, skin moles, itching of skin, skin irritation"
312,actinic keratosis,"skin swelling, abnormal appearing skin, skin lesion, skin growth, irregular appearing scalp, symptoms of the face, skin dryness, peeling, scaliness, or roughness, skin irritation, skin rash"
313,actinic keratosis,"skin moles, symptoms of the face, itching of skin"
314,actinic keratosis,"abnormal appearing skin, skin lesion, skin growth, symptoms of the face, itching of skin"
315,actinic keratosis,"skin swelling, skin lesion, irregular appearing scalp, symptoms of the face, skin dryness, peeling, scaliness, or roughness, skin irritation, skin rash"
316,actinic keratosis,"skin swelling, skin lesion, irregular appearing scalp, itching of skin, skin dryness, peeling, scaliness, or roughness, skin rash"
317,actinic keratosis,"skin swelling, skin lesion, irregular appearing scalp, skin moles, itching of skin, skin dryness, peeling, scaliness, or roughness, skin irritation"
318,actinic keratosis,"skin swelling, abnormal appearing skin, skin lesion, symptoms of the face, skin irritation"
